country,sex,year,mean_bmi_urban,urban_lower_ci,urban_upper_ci,mean_bmi_rural,rural_lower_ci,rural_upper_ci
Afghanistan,Men,1985,22.4252353,19.97722405,24.95859728,19.74122778,17.24782962,22.24421878
Afghanistan,Men,1986,22.45779953,20.02050576,24.95242006,19.82459356,17.3623675,22.31154263
Afghanistan,Men,1987,22.49047636,20.06646561,24.95740129,19.90807195,17.46655139,22.35434965
Afghanistan,Men,1988,22.52356367,20.10702464,24.98549281,19.99196082,17.57615549,22.41594489
Afghanistan,Men,1989,22.55674432,20.15337403,24.99200795,20.07594302,17.66956653,22.48121863
Afghanistan,Men,1990,22.59013578,20.2076465,25.00441519,20.16013604,17.76248109,22.54613227
Afghanistan,Men,1991,22.62387222,20.24253074,25.00683805,20.24467403,17.85199077,22.6269382
Afghanistan,Men,1992,22.65837825,20.2743021,25.03977542,20.32998162,17.94190336,22.70853535
Afghanistan,Men,1993,22.69360437,20.32977046,25.0568745,20.41600929,18.04132695,22.78840312
Afghanistan,Men,1994,22.72983542,20.36456447,25.0942812,20.5030419,18.11760325,22.86230972
Afghanistan,Men,1995,22.76725678,20.39488499,25.13755796,20.59126482,18.19507534,22.96874729
Afghanistan,Men,1996,22.8062015,20.43178653,25.17333042,20.6810111,18.29831096,23.05123007
Afghanistan,Men,1997,22.84652565,20.45784722,25.22324046,20.7721368,18.37382081,23.14265138
Afghanistan,Men,1998,22.88819973,20.49438322,25.25690382,20.86461243,18.45190355,23.23274443
Afghanistan,Men,1999,22.93092815,20.53520733,25.30084059,20.95814242,18.56030874,23.3197167
Afghanistan,Men,2000,22.97360803,20.58509411,25.33189529,21.05162385,18.63922715,23.41668139
Afghanistan,Men,2001,23.01591214,20.60723488,25.36357189,21.14472951,18.73657686,23.49978567
Afghanistan,Men,2002,23.05734928,20.6582058,25.3959859,21.23696821,18.81996326,23.58804325
Afghanistan,Men,2003,23.09726525,20.69292845,25.43456583,21.32768574,18.91490429,23.68203142
Afghanistan,Men,2004,23.13548176,20.72728966,25.49350722,21.41670381,18.99402803,23.76756869
Afghanistan,Men,2005,23.17143126,20.77076853,25.53488291,21.50345486,19.09187268,23.85840459
Afghanistan,Men,2006,23.20511537,20.7809116,25.57955458,21.58794053,19.1692621,23.93791353
Afghanistan,Men,2007,23.23765634,20.84303507,25.60903127,21.67128305,19.24202363,24.01045191
Afghanistan,Men,2008,23.26944619,20.87886572,25.65944102,21.75387446,19.32161053,24.09936923
Afghanistan,Men,2009,23.30105394,20.91315032,25.68859176,21.83628376,19.4062552,24.22298774
Afghanistan,Men,2010,23.33263149,20.92222619,25.73571606,21.91866287,19.49446434,24.30256738
Afghanistan,Men,2011,23.36492494,20.9400149,25.76795762,22.00175788,19.5758161,24.3674727
Afghanistan,Men,2012,23.39799901,20.97701598,25.81553927,22.0856335,19.63837203,24.45858071
Afghanistan,Men,2013,23.43205402,21.00064587,25.86236207,22.17049007,19.7310135,24.55084277
Afghanistan,Men,2014,23.46659113,21.01722323,25.91364485,22.25582873,19.81345712,24.67298255
Afghanistan,Men,2015,23.50148709,21.02368892,25.97860745,22.34152625,19.8862665,24.79505256
Afghanistan,Men,2016,23.53670788,21.03504994,26.0317534,22.4275486,19.95046652,24.92289827
Afghanistan,Men,2017,23.57164039,21.0322511,26.10126787,22.51328266,19.99775885,25.03942446
Albania,Men,1985,25.36094946,24.03794264,26.7278063,25.03932619,23.65846651,26.44955173
Albania,Men,1986,25.3792557,24.11493286,26.6689029,25.06303357,23.74085939,26.40692583
Albania,Men,1987,25.39744569,24.19315409,26.61978077,25.08662469,23.83538329,26.3778611
Albania,Men,1988,25.41576711,24.26388017,26.57005466,25.11034723,23.90182456,26.32682299
Albania,Men,1989,25.43460865,24.333134,26.54515442,25.13458991,23.97916075,26.30275838
Albania,Men,1990,25.4549132,24.4036561,26.50829777,25.16029559,24.03261726,26.29053292
Albania,Men,1991,25.47675906,24.46582741,26.48048604,25.18754258,24.11579722,26.25086721
Albania,Men,1992,25.50118763,24.52314707,26.45743195,25.21737228,24.18713102,26.24822152
Albania,Men,1993,25.52927489,24.59233129,26.45837952,25.25086067,24.26149429,26.24037974
Albania,Men,1994,25.5613629,24.65911046,26.46377054,25.28834982,24.33159056,26.25286822
Albania,Men,1995,25.59789281,24.7327281,26.4763631,25.33028085,24.40172713,26.27177384
Albania,Men,1996,25.6395802,24.800555,26.48982036,25.37736938,24.48392789,26.29458389
Albania,Men,1997,25.68666821,24.86273957,26.52174812,25.42985851,24.55848656,26.32679417
Albania,Men,1998,25.73951039,24.94357883,26.54545405,25.48810183,24.63234267,26.35667203
Albania,Men,1999,25.79803643,25.02003611,26.5908227,25.552029,24.71623879,26.40226347
Albania,Men,2000,25.86079376,25.10791908,26.62596212,25.62018746,24.81024164,26.44672116
Albania,Men,2001,25.92684053,25.1840775,26.67960228,25.69163535,24.90467424,26.49138755
Albania,Men,2002,25.99504846,25.2673988,26.73092077,25.76524442,24.99699594,26.5428214
Albania,Men,2003,26.06511648,25.35071691,26.77625157,25.84071357,25.09020691,26.59590222
Albania,Men,2004,26.13552243,25.43843369,26.83761224,25.91652065,25.18362701,26.65600342
Albania,Men,2005,26.20523051,25.52364174,26.90193362,25.99162986,25.27391802,26.72266066
Albania,Men,2006,26.2732364,25.60024828,26.95260503,26.06503689,25.362443,26.78474214
Albania,Men,2007,26.33959316,25.66038426,27.01054827,26.13679478,25.44052768,26.84774124
Albania,Men,2008,26.40414394,25.73279444,27.07248941,26.20674668,25.50320685,26.90429471
Albania,Men,2009,26.46802128,25.79133593,27.14220907,26.27602516,25.56971191,26.97445514
Albania,Men,2010,26.53170123,25.8370034,27.22287302,26.34510623,25.62306101,27.06034821
Albania,Men,2011,26.59578233,25.87774026,27.31095641,26.41458846,25.67426636,27.1475285
Albania,Men,2012,26.66124211,25.91741108,27.39075827,26.48544938,25.71501938,27.24665588
Albania,Men,2013,26.7285113,25.94778593,27.50390067,26.5581197,25.76328558,27.3465449
Albania,Men,2014,26.79797972,25.97782542,27.61937579,26.63298925,25.79934393,27.45969448
Albania,Men,2015,26.8689359,26.00353285,27.72643924,26.70934656,25.83799208,27.58615348
Albania,Men,2016,26.9411791,26.02242209,27.85731011,26.7869909,25.84742327,27.72025441
Albania,Men,2017,27.01334818,26.04025327,27.99351811,26.86456111,25.85783561,27.85634021
Algeria,Men,1985,22.32197814,21.01781772,23.63407646,21.80295203,20.46363323,23.1106944
Algeria,Men,1986,22.40364516,21.17627829,23.63152341,21.8853503,20.62944383,23.11480046
Algeria,Men,1987,22.48570534,21.32192385,23.66135528,21.96814173,20.76938145,23.1180082
Algeria,Men,1988,22.56829032,21.47008101,23.66362219,22.05145797,20.91183931,23.14187173
Algeria,Men,1989,22.65176257,21.61606464,23.6828603,22.13566146,21.05718827,23.16595761
Algeria,Men,1990,22.7363277,21.76803889,23.71338142,22.22095785,21.19260854,23.19464175
Algeria,Men,1991,22.82199138,21.91248609,23.75191197,22.30735278,21.33094566,23.23138541
Algeria,Men,1992,22.90883934,22.0432272,23.78455168,22.39493199,21.47001087,23.28655303
Algeria,Men,1993,22.99678959,22.16625569,23.83563049,22.48361349,21.60379179,23.33592302
Algeria,Men,1994,23.08592463,22.29970956,23.89475127,22.57347977,21.72331608,23.3843376
Algeria,Men,1995,23.1759161,22.43140334,23.94665383,22.6642025,21.86375043,23.44643713
Algeria,Men,1996,23.2665978,22.55058114,24.01743506,22.75561545,21.99435557,23.49406617
Algeria,Men,1997,23.35790807,22.67159094,24.07445037,22.84765696,22.11537975,23.55505707
Algeria,Men,1998,23.44994664,22.79342665,24.13871448,22.94042679,22.22948291,23.62315969
Algeria,Men,1999,23.54262868,22.9108218,24.20389564,23.03384008,22.34450361,23.69422362
Algeria,Men,2000,23.63482115,23.02029722,24.26447798,23.1267638,22.46664744,23.76572987
Algeria,Men,2001,23.72649467,23.12955766,24.33702206,23.21916857,22.57968103,23.82737446
Algeria,Men,2002,23.81786829,23.24810657,24.40377445,23.31127344,22.68993226,23.90854689
Algeria,Men,2003,23.90907784,23.35413108,24.46945166,23.40321424,22.80402201,24.00067397
Algeria,Men,2004,24.00115485,23.46212373,24.55137342,23.4960225,22.90664854,24.07826839
Algeria,Men,2005,24.09353337,23.57201528,24.6278917,23.58913227,23.01900538,24.1619553
Algeria,Men,2006,24.18652471,23.67501621,24.7075164,23.68285486,23.12723683,24.24441224
Algeria,Men,2007,24.28033918,23.77523883,24.79046738,23.77740058,23.22632471,24.33103278
Algeria,Men,2008,24.37604779,23.87443412,24.88837567,23.87384044,23.33507058,24.42610641
Algeria,Men,2009,24.47257935,23.97354546,24.97961552,23.97110325,23.44123143,24.52122187
Algeria,Men,2010,24.56930274,24.07117828,25.07211215,24.0685579,23.54353615,24.61737151
Algeria,Men,2011,24.66626185,24.1737246,25.17542068,24.16624826,23.63242595,24.71236565
Algeria,Men,2012,24.76356663,24.25058056,25.26850526,24.26428428,23.72250412,24.82133661
Algeria,Men,2013,24.86131869,24.34632494,25.38009521,24.3627676,23.8121914,24.92336946
Algeria,Men,2014,24.95863267,24.43184254,25.49254794,24.46081283,23.88872105,25.03556683
Algeria,Men,2015,25.05499263,24.50978924,25.60568539,24.55790404,23.96741698,25.15076693
Algeria,Men,2016,25.15089464,24.5852956,25.73131496,24.6545373,24.03426266,25.27166503
Algeria,Men,2017,25.24644359,24.64133548,25.86330362,24.7508175,24.10313842,25.4067988
American Samoa,Men,1985,34.01523941,32.91951879,35.10861653,32.62165554,31.71384429,33.5219611
American Samoa,Men,1986,34.03586243,33.030464,35.0546194,32.69536701,31.87039757,33.51974885
American Samoa,Men,1987,34.0555803,33.11473279,35.01452726,32.76817333,32.01421721,33.51550277
American Samoa,Men,1988,34.07432473,33.19215238,34.98535427,32.8400062,32.15041558,33.52817941
